index,ChEMBL ID,Name,canonical_smiles
168,CHEMBL156885,CETAMOLOL,CNC(=O)COc1ccccc1OCC(O)CNC(C)(C)C
169,CHEMBL2105537,STEFFIMYCIN,COc1cc(O)c2c(c1)C(=O)c1cc3c(c(O)c1C2=O)[C@@H](O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1OC)[C@H](OC)[C@](C)(O)C3=O
170,CHEMBL329901,AMOLANONE,CCN(CC)CCC1(c2ccccc2)C(=O)Oc2ccccc21
171,CHEMBL1534653,HEXADECYLAMINE,CCCCCCCCCCCCCCCCN
172,CHEMBL1182997,GANTACURIUM,COc1cc2c(cc1OC)[C@H](c1cc(OC)c(OC)c(OC)c1)[N@@+](C)(CCCOC(=O)/C=C(\Cl)C(=O)OCCC[N@+]1(C)CCc3cc(OC)c(OC)cc3[C@H]1Cc1cc(OC)c(OC)c(OC)c1)CC2
173,CHEMBL452861,LEVOPROPRANOLOL,CC(C)NC[C@H](O)COc1cccc2ccccc12
174,CHEMBL2108962,HEMOGLOBIN CROSFUMARIL,
175,CHEMBL2107099,TOLFAMIDE,Cc1ccccc1C(=O)NP(N)(N)=O
176,CHEMBL2106395,LAUDEXIUM METHYLSULFATE,COS(=O)(=O)[O-].COS(=O)(=O)[O-].COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCCCCCCCCC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC
177,CHEMBL474260,CARUBICIN,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O
178,CHEMBL1908333,TILMICOSIN,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC
179,CHEMBL2106408,DETIRELIX ACETATE,CC/N=C(/NCC)NCCCC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(Cl)cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
